topic,url,status,audience,update_frequency
PostgreSQL materialized-view refresh behavior,,not written,practitioners,quarterly
PostgreSQL recursive CTE cycle handling,,not written,practitioners,quarterly
dbt source declarations and source references,,not written,practitioners,quarterly
dbt staging model naming and layout,,not written,practitioners,quarterly
dbt intermediate models for repeated transformations,,not written,practitioners,quarterly
dbt marts and business entities,,not written,practitioners,quarterly
dbt ref dependencies and build order,,not written,practitioners,quarterly
dbt ephemeral versus view materialization,,not written,practitioners,quarterly
dbt table versus incremental materialization,,not written,practitioners,quarterly
dbt incremental unique keys,,not written,practitioners,quarterly
dbt incremental lookback filters,,not written,practitioners,quarterly
dbt incremental schema changes,,not written,practitioners,quarterly
dbt full-refresh impact analysis,,not written,practitioners,quarterly
dbt timestamp snapshots,,not written,practitioners,quarterly
dbt check-strategy snapshots,,not written,practitioners,quarterly
dbt snapshot hard-delete behavior,,not written,practitioners,quarterly
dbt model configuration precedence,,not written,practitioners,quarterly
dbt variables for reproducible runs,,not written,practitioners,quarterly
dbt environment-aware source routing,,not written,practitioners,quarterly
dbt model versioning for breaking changes,,not written,practitioners,quarterly
dbt generated SQL inspection,,not written,practitioners,quarterly
dbt documentation of model assumptions,,not written,practitioners,quarterly
dbt generic data tests,,not written,practitioners,quarterly
dbt singular SQL tests,,not written,practitioners,quarterly
dbt relationship tests with late dimensions,,not written,practitioners,quarterly
dbt accepted-values tests for evolving enums,,not written,practitioners,quarterly
dbt test severity and failure thresholds,,not written,practitioners,quarterly
dbt storing test failures,,not written,practitioners,quarterly
dbt unit-test fixtures for conditional logic,,not written,practitioners,quarterly
dbt unit testing incremental models,,not written,practitioners,quarterly
dbt unit tests for time-dependent logic,,not written,practitioners,quarterly
dbt model contracts and type enforcement,,not written,practitioners,quarterly
dbt contracts versus database constraints,,not written,practitioners,quarterly
dbt contract changes and downstream compatibility,,not written,practitioners,quarterly
dbt freshness checks on declared sources,,not written,practitioners,quarterly
dbt testing composite uniqueness,,not written,practitioners,quarterly
dbt test selection for modified models,,not written,practitioners,quarterly
dbt semantic model entity definitions,,not written,practitioners,quarterly
dbt semantic model time dimensions,,not written,practitioners,quarterly
dbt semantic model measure aggregation,,not written,practitioners,quarterly
dbt semantic model dimension eligibility,,not written,practitioners,quarterly
dbt test artifact interpretation,,not written,practitioners,quarterly
Airflow data intervals and logical dates,,not written,practitioners,quarterly
Airflow catchup configuration,,not written,practitioners,quarterly
Airflow backfill reprocessing behavior,,not written,practitioners,quarterly
Airflow task retries and retry delays,,not written,practitioners,quarterly
Airflow task execution timeouts,,not written,practitioners,quarterly
Airflow DAG run timeouts,,not written,practitioners,quarterly
Airflow pools for shared resources,,not written,practitioners,quarterly
Airflow maximum active runs,,not written,practitioners,quarterly
Airflow trigger rules after branching,,not written,practitioners,quarterly
Airflow task state transitions,,not written,practitioners,quarterly
Airflow dynamic task mapping limits,,not written,practitioners,quarterly
Airflow XCom payload boundaries,,not written,practitioners,quarterly
Airflow sensors and resource usage,,not written,practitioners,quarterly
Airflow DAG parsing performance,,not written,practitioners,quarterly
Airflow deterministic DAG generation,,not written,practitioners,quarterly
Airflow local task testing,,not written,practitioners,quarterly
Airflow task clearing for recovery,,not written,practitioners,quarterly
Airflow secrets and connection configuration,,not written,practitioners,quarterly
Airflow DAG deployment compatibility,,not written,practitioners,quarterly
Kafka producer acknowledgment settings,,not written,practitioners,quarterly
Kafka producer idempotence,,not written,practitioners,quarterly
Kafka transactions for consume-transform-produce,,not written,practitioners,quarterly
Kafka consumer offset commits,,not written,practitioners,quarterly
Kafka consumer isolation levels,,not written,practitioners,quarterly
Kafka partition keys and ordering,,not written,practitioners,quarterly
Kafka consumer group rebalancing,,not written,practitioners,quarterly
Kafka static group membership,,not written,practitioners,quarterly
Kafka log compaction for entity state,,not written,practitioners,quarterly
Kafka tombstone retention,,not written,practitioners,quarterly
Kafka retention versus consumer recovery,,not written,practitioners,quarterly
Kafka in-sync replicas and durability,,not written,practitioners,quarterly
Kafka unclean leader election tradeoffs,,not written,practitioners,quarterly
Kafka producer batching and compression,,not written,practitioners,quarterly
Kafka consumer lag diagnostics,,not written,practitioners,quarterly
Kafka quotas for shared clusters,,not written,practitioners,quarterly
Kafka partition-count changes,,not written,practitioners,quarterly
Kafka replay into a new consumer group,,not written,practitioners,quarterly
Kafka message-size limits across components,,not written,practitioners,quarterly
Kafka client failure recovery tests,,not written,practitioners,quarterly
Debezium PostgreSQL snapshot modes,,not written,practitioners,quarterly
Debezium replication-slot configuration,,not written,practitioners,quarterly
Debezium PostgreSQL publication privileges,,not written,practitioners,quarterly
Debezium incremental snapshot signaling,,not written,practitioners,quarterly
Debezium change-event envelopes,,not written,practitioners,quarterly
Debezium delete events and tombstones,,not written,practitioners,quarterly
Debezium primary-key updates,,not written,practitioners,quarterly
Debezium transaction metadata,,not written,practitioners,quarterly
Debezium decimal handling,,not written,practitioners,quarterly
Debezium timestamp type mappings,,not written,practitioners,quarterly
Debezium unchanged TOAST values,,not written,practitioners,quarterly
Debezium schema-change handling,,not written,practitioners,quarterly
Debezium heartbeat configuration,,not written,practitioners,quarterly
Debezium WAL growth during outages,,not written,practitioners,quarterly
Debezium PostgreSQL failover recovery,,not written,practitioners,quarterly
Debezium table inclusion filters,,not written,practitioners,quarterly
Debezium source truncate events,,not written,practitioners,quarterly
Debezium snapshot consistency checks,,not written,practitioners,quarterly
Debezium connector restart recovery,,not written,practitioners,quarterly
Debezium connector metrics for capture lag,,not written,practitioners,quarterly
Spark Structured Streaming watermarks,,not written,practitioners,quarterly
Spark streaming output modes,,not written,practitioners,quarterly
Spark streaming window aggregations,,not written,practitioners,quarterly
Spark stream-stream joins,,not written,practitioners,quarterly
Spark stream-static joins,,not written,practitioners,quarterly
Spark streaming deduplication,,not written,practitioners,quarterly
Spark multiple-watermark policies,,not written,practitioners,quarterly
Spark streaming checkpoints,,not written,practitioners,quarterly
Spark streaming query changes after restart,,not written,practitioners,quarterly
Spark foreachBatch idempotency,,not written,practitioners,quarterly
Spark streaming state-store monitoring,,not written,practitioners,quarterly
Spark streaming trigger intervals,,not written,practitioners,quarterly
Spark available-now processing,,not written,practitioners,quarterly
Spark streaming file-source ingestion,,not written,practitioners,quarterly
Spark streaming query progress metrics,,not written,practitioners,quarterly
Spark streaming asynchronous monitoring,,not written,practitioners,quarterly
Spark streaming recovery after sink failure,,not written,practitioners,quarterly
Spark streaming session windows,,not written,practitioners,quarterly
Spark streaming unsupported-operation diagnostics,,not written,practitioners,quarterly
Spark streaming state cleanup verification,,not written,practitioners,quarterly
Iceberg field IDs during column renames,,not written,practitioners,quarterly
Iceberg safe column type promotion,,not written,practitioners,quarterly
Iceberg nested schema evolution,,not written,practitioners,quarterly
Iceberg partition-spec evolution,,not written,practitioners,quarterly
Iceberg hidden partitioning,,not written,practitioners,quarterly
Iceberg sort-order evolution,,not written,practitioners,quarterly
Iceberg optimistic commit retries,,not written,practitioners,quarterly
Iceberg conflict validation for overlapping writes,,not written,practitioners,quarterly
Iceberg snapshot-based reads,,not written,practitioners,quarterly
Iceberg snapshot expiration planning,,not written,practitioners,quarterly
Iceberg orphan-file cleanup boundaries,,not written,practitioners,quarterly
Iceberg manifest inspection,,not written,practitioners,quarterly
Iceberg partition evolution versus rewriting files,,not written,practitioners,quarterly
Iceberg schema rollback implications,,not written,practitioners,quarterly
Iceberg concurrent append behavior,,not written,practitioners,quarterly
Iceberg commit failure recovery,,not written,practitioners,quarterly
Iceberg catalog atomicity requirements,,not written,practitioners,quarterly
Iceberg reader-writer version compatibility,,not written,practitioners,quarterly
Iceberg data-file rewrite verification,,not written,practitioners,quarterly
Iceberg metadata growth diagnostics,,not written,practitioners,quarterly
BigQuery partition filter enforcement,,not written,practitioners,quarterly
BigQuery clustering-column selection,,not written,practitioners,quarterly
BigQuery dry-run byte estimates,,not written,practitioners,quarterly
BigQuery maximum bytes billed,,not written,practitioners,monthly
BigQuery query-cache effects on measurements,,not written,practitioners,quarterly
BigQuery execution graph diagnostics,,not written,practitioners,quarterly
BigQuery repeated-field modeling,,not written,practitioners,quarterly
BigQuery partitioned-table migration,,not written,practitioners,quarterly
BigQuery incremental MERGE pruning,,not written,practitioners,quarterly
BigQuery materialized-view applicability,,not written,practitioners,quarterly
BigQuery slot contention diagnosis,,not written,practitioners,quarterly
BigQuery reservation workload isolation,,not written,practitioners,monthly
BigQuery on-demand versus capacity billing inputs,,not written,practitioners,monthly
BigQuery scheduled-query failure handling,,not written,practitioners,quarterly
BigQuery source-to-target type mapping,,not written,practitioners,quarterly
BigQuery migration SQL validation,,not written,practitioners,quarterly
BigQuery time-travel recovery boundaries,,not written,practitioners,monthly
BigQuery data-transfer reconciliation,,not written,practitioners,quarterly
BigQuery job metadata for cost attribution,,not written,practitioners,quarterly
BigQuery column projection in nested queries,,not written,practitioners,quarterly
Snowflake micro-partition pruning,,not written,practitioners,quarterly
Snowflake clustering depth interpretation,,not written,practitioners,quarterly
Snowflake clustering-key selection,,not written,practitioners,quarterly
Snowflake automatic clustering cost assessment,,not written,practitioners,monthly
Snowflake search optimization applicability,,not written,practitioners,quarterly
Snowflake search optimization cost boundaries,,not written,practitioners,monthly
Snowflake materialized-view maintenance tradeoffs,,not written,practitioners,quarterly
Snowflake materialized-view query compatibility,,not written,practitioners,quarterly
Snowflake query acceleration eligibility,,not written,practitioners,monthly
Snowflake query acceleration cost evaluation,,not written,practitioners,monthly
Snowflake warehouse sizing for a fixed workload,,not written,practitioners,quarterly
Snowflake concurrency versus warehouse scaling,,not written,practitioners,quarterly
Snowflake spill diagnosis in query profiles,,not written,practitioners,quarterly
Snowflake cache-aware benchmark design,,not written,practitioners,quarterly
Snowflake pruning regressions after data growth,,not written,practitioners,quarterly
Snowflake storage optimization selection,,not written,practitioners,quarterly
Snowflake performance baselines by query family,,not written,practitioners,quarterly
Snowflake performance experiment rollback,,not written,practitioners,quarterly
Snowflake analytical workload cost attribution,,not written,practitioners,quarterly
Snowflake optimization acceptance criteria,,not written,practitioners,quarterly
Power BI active and inactive date relationships,,not written,practitioners,quarterly
Power BI role-playing date tables,,not written,practitioners,quarterly
Power BI many-to-many dimension relationships,,not written,practitioners,quarterly
Power BI fact-to-fact relationship pitfalls,,not written,practitioners,quarterly
Power BI filter-direction decisions,,not written,practitioners,quarterly
Power BI relationship ambiguity diagnostics,,not written,practitioners,quarterly
Power BI unmatched dimension members,,not written,practitioners,quarterly
Power BI surrogate-key loading,,not written,practitioners,quarterly
Power BI slowly changing dimensions,,not written,practitioners,quarterly
Power BI degenerate dimensions,,not written,practitioners,quarterly
Power BI explicit versus implicit measures,,not written,practitioners,quarterly
Power BI factless fact models,,not written,practitioners,quarterly
Power BI snowflake-dimension flattening,,not written,practitioners,quarterly
Power BI disconnected parameter tables,,not written,practitioners,quarterly
Power BI higher-grain fact relationships,,not written,practitioners,quarterly
Power BI bridge allocation measures,,not written,practitioners,quarterly
Power BI inactive relationships and security,,not written,practitioners,quarterly
Power BI relationship cardinality validation,,not written,practitioners,quarterly
Power BI date-table role naming,,not written,practitioners,quarterly
Power BI semantic-model reconciliation,,not written,practitioners,quarterly
Parquet row-group sizing experiments,,not written,practitioners,quarterly
Parquet column-chunk metadata inspection,,not written,practitioners,quarterly
